date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:39	58200/58200	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20May%202025%2006:50:38%20GMT	http://buffetlumlua.com/	./dangquangminh/buffet_2/buffetlumlua.com/index.html	(from )
13:50:48	1021073/1021073	---M--	200	added ('OK')	text/css	etag:%22f9491-633bfa9ff98db%22	http://buffetlumlua.com/assets/caches/201dc2f53490ae9b45ddd7f5eb4d5311.css?v=1745748144	./dangquangminh/buffet_2/buffetlumlua.com/assets/caches/201dc2f53490ae9b45ddd7f5eb4d5311b34c.css	(from http://buffetlumlua.com/)
13:50:51	10900/10900	---M--	200	added ('OK')	image/png	etag:%222a94-6314bc8af0691%22	http://buffetlumlua.com/thumbs/144x144x1/assets/images/noimage.png	./dangquangminh/buffet_2/buffetlumlua.com/thumbs/144x144x1/assets/images/noimage.png	(from http://buffetlumlua.com/)
13:50:53	1050/1050	---M--	200	added ('OK')	image/png	etag:%2241a-60484b2914e41%22	http://buffetlumlua.com/assets/images/img1.png	./dangquangminh/buffet_2/buffetlumlua.com/assets/images/img1.png	(from http://buffetlumlua.com/)
13:50:54	21129/21129	---M--	200	added ('OK')	image/jpeg	etag:%225289-6319ec7fcc843%22	http://buffetlumlua.com/thumbs/144x144x1/upload/photo/z467103627779422670950eb5b5822e10ee07d33cf61da-2918.jpg	./dangquangminh/buffet_2/buffetlumlua.com/thumbs/144x144x1/upload/photo/z467103627779422670950eb5b5822e10ee07d33cf61da-2918.jpg	(from http://buffetlumlua.com/)
13:50:54	26570/26570	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20May%202025%2006:50:53%20GMT	http://buffetlumlua.com/gioi-thieu	./dangquangminh/buffet_2/buffetlumlua.com/gioi-thieu.html	(from http://buffetlumlua.com/)
13:50:56	41061/41061	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20May%202025%2006:50:54%20GMT	http://buffetlumlua.com/san-pham	./dangquangminh/buffet_2/buffetlumlua.com/san-pham.html	(from http://buffetlumlua.com/)
13:50:58	114549/114549	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20May%202025%2006:50:56%20GMT	http://buffetlumlua.com/album	./dangquangminh/buffet_2/buffetlumlua.com/album.html	(from http://buffetlumlua.com/)
13:51:00	23357/23357	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20May%202025%2006:50:58%20GMT	http://buffetlumlua.com/tin-tuc	./dangquangminh/buffet_2/buffetlumlua.com/tin-tuc.html	(from http://buffetlumlua.com/)
13:51:02	23098/23098	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20May%202025%2006:51:00%20GMT	http://buffetlumlua.com/chi-nhanh	./dangquangminh/buffet_2/buffetlumlua.com/chi-nhanh.html	(from http://buffetlumlua.com/)
13:51:04	27444/27444	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20May%202025%2006:51:02%20GMT	http://buffetlumlua.com/lien-he	./dangquangminh/buffet_2/buffetlumlua.com/lien-he.html	(from http://buffetlumlua.com/)
13:51:16	52719/52719	---M--	200	added ('OK')	image/png	etag:%22cdef-63150f775ea92%22	http://buffetlumlua.com/thumbs/1366x600x1/assets/images/noimage.png	./dangquangminh/buffet_2/buffetlumlua.com/thumbs/1366x600x1/assets/images/noimage.png	(from http://buffetlumlua.com/)
13:51:18	53339/53339	---M--	200	added ('OK')	image/png	etag:%22d05b-6314bc8ec4288%22	http://buffetlumlua.com/thumbs/370x500x1/assets/images/noimage.png	./dangquangminh/buffet_2/buffetlumlua.com/thumbs/370x500x1/assets/images/noimage.png	(from http://buffetlumlua.com/)
13:51:18	892/892	---M--	200	added ('OK')	image/png	etag:%2237c-60484b2919491%22	http://buffetlumlua.com/assets/images/img2.png	./dangquangminh/buffet_2/buffetlumlua.com/assets/images/img2.png	(from http://buffetlumlua.com/)
13:51:22	3781/3781	---M--	200	added ('OK')	image/png	etag:%22ec5-60484b2dee1d8%22	http://buffetlumlua.com/upload/news/image-3-4195.png	./dangquangminh/buffet_2/buffetlumlua.com/upload/news/image-3-4195.png	(from http://buffetlumlua.com/)
13:51:24	3206/3206	---M--	200	added ('OK')	image/png	etag:%22c86-60484b2df5320%22	http://buffetlumlua.com/upload/news/image-5-5217.png	./dangquangminh/buffet_2/buffetlumlua.com/upload/news/image-5-5217.png	(from http://buffetlumlua.com/)
13:51:26	5117/5117	---M--	200	added ('OK')	image/png	etag:%2213fd-60484b2df33e0%22	http://buffetlumlua.com/upload/news/image-4-4426.png	./dangquangminh/buffet_2/buffetlumlua.com/upload/news/image-4-4426.png	(from http://buffetlumlua.com/)
13:51:28	6289/6289	---M--	200	added ('OK')	image/png	etag:%221891-60484b2de2a3f%22	http://buffetlumlua.com/upload/news/image-2-8340.png	./dangquangminh/buffet_2/buffetlumlua.com/upload/news/image-2-8340.png	(from http://buffetlumlua.com/)
